,Variable,Mean,std,Min,Max,diffofmeanandmin,diffmeanandmax,r2value,pvalue
22,RATE_PEDS_CARDIO_TOT_PC,0.567539006761,3.57461449178,0.0,110.177661,0.567539006761,-109.610121993,1.45238025722e-05,0.892074281072
23,PERCNT_LT65_NO_HLTH_INS,17.9770190167,6.09999102982,0.0,46.8,17.9770190167,-28.8229809833,3.41796262934e-07,0.983393947852
24,RATE_TOT_NH_HOSP_BEDS,8.29984867193,27.121153642,0.0,344.907947,8.29984867193,-336.608098328,0.00054793105575,0.40457268332
25,MinTemp_2000_July,17.0961377535,3.73121218056,3.97,25.76,13.1261377535,-8.66386224654,0.00038488375013,0.484850304134
26,Less_Than_High_School_(%),16.9301674179,7.32856664194,0.7,52.1,16.2301674179,-35.1698325821,0.00139873568367,0.182870702745
27,PERCNT_MEDCR_ENROL_AGED_SMI,94.1886493299,7.55006506048,0.0,176.753317,94.1886493299,-82.5646676701,0.0023162153195,0.0864530808701
28,At_Least_High_School_Diploma(%),83.0698325821,7.32856664194,47.9,99.3,35.1698325821,-16.2301674179,0.000479262935479,0.435688564413
29,RATE_ACTMDS_NONFED,122.602542511,146.190860708,0.0,2675.767243,122.602542511,-2553.16470049,6.6903947268e-05,0.770890278066
30,sunlight,16037.8781912,1499.09446286,12945.79,20774.77,3092.08819118,-4736.89180882,0.000182100190083,0.630906837381
31,RATE_HOSP_ADMISSION,91.4705895023,136.274633934,0.0,5040.16325,91.4705895023,-4948.6926605,0.0002804196102,0.551026337876
32,PCT_NHBLACK08,9.000515132,14.3195434153,0.0,85.5,9.000515132,-76.499484868,8.22229649777e-05,0.746820833555
33,MEDIAN_AGE_WHITE_NON_HISP_MALE,38.4535927903,3.86071244921,21.6,64.9,16.8535927903,-26.4464072097,0.00123984905753,0.2098466591
34,RATE_DO_TOT_PTCARE,10.9143315006,18.1623032455,0.0,452.894855,10.9143315006,-441.980523499,0.00145499130714,0.174302466586
35,PERCNT_AFRICAN_AM_POP,8.84590295845,14.5659118195,0.0,86.5,8.84590295845,-77.6540970415,0.000646298270844,0.365341615314
36,RATE_INTMED_SPEC_TOT_PC,4.07805865679,9.16628003182,0.0,190.104224,4.07805865679,-186.026165343,0.000110083047074,0.708740781153
37,RATE_MDS_GP_TOT_PC,30.6121433693,22.5818448646,0.0,369.913687,30.6121433693,-339.301543631,9.23434023983e-05,0.732255547431
38,PERCNT_MEDCD_ELIG_MALES,16.7198466896,7.59067691392,0.0,58.759263,16.7198466896,-42.0394163104,1.67557488116e-05,0.884132212781
39,p1tot_rate,823.121299005,502.042621104,0.0,4629.80677253,823.121299005,-3806.68547352,0.000703418267827,0.344963899669
40,MED_HH_INC,44023.7057308,11367.2774764,19182.0,111582.0,24841.7057308,-67558.2942692,0.00112713930648,0.231853405974
41,PERCNT_HISPANIC_POP,6.2017514685,12.0480601527,0.1,97.5,6.1017514685,-91.2982485315,0.00132195039093,0.195366078886
42,RATE_PLASTIC_TOT_PC,0.635963812299,1.89429449689,0.0,54.466231,0.635963812299,-53.8302671877,1.32898911773e-05,0.896733775072
43,PCT_HISP08,7.69893754024,12.8266901999,0.1,97.3,7.59893754024,-89.6010624598,3.65660969322e-05,0.829543769917
44,RATE_MDS_TOT_GP_OFFBASED,27.6034256008,20.9788853428,0.0,369.913687,27.6034256008,-342.310261399,0.00438170194273,0.0183124260092
45,Iwhite2000,0.838874299734,0.162523897735,0.019784,1.0,0.819090299734,-0.161125700266,0.000680585999139,0.352918228684
46,RATE_LICENS_SHRTRM_NH_HOSP_BEDS,8.05692790695,28.443311189,0.0,583.090379,8.05692790695,-575.033451093,3.26196680688e-05,0.838871308476
47,rentwt,0.211577983553,0.0622881175704,0.026379,0.759693,0.185198983553,-0.548115016447,0.000780209183819,0.319913221444
48,PERCNT_MEDCD_ELIG_TOT,19.9084711272,8.75150189936,0.0,60.572805,19.9084711272,-40.6643338728,0.000752150805911,0.328776754342
49,PERCNT_WHITE_POPULATION,84.7729152697,16.0542736869,4.5,99.7,80.2729152697,-14.9270847303,0.000205694905007,0.609608700727
50,Per_Rep_08,56.9055710647,13.8526618632,0.0,93.209877,56.9055710647,-36.3043059353,0.00289549231078,0.0552223038858
51,At_Least_Bachelor's_Degree(%),19.0022215068,8.66813733465,3.7,71.0,15.3022215068,-51.9977784932,0.000789387103177,0.317082346354
52,White_not_Latino_Population_(%),79.5990993889,19.0316412862,1.0,100.0,78.5990993889,-20.4009006111,0.000942280267336,0.274342704226
53,Per_Rep_04,60.2869478493,12.5437605355,9.353528,92.0,50.9334198493,-31.7130521507,0.000587332636956,0.388171269062
54,RATE_MDS_TOT_PTCARE_NONFED,114.31587645,127.427967853,0.0,2146.184561,114.31587645,-2031.86868455,0.000561517086187,0.398806203014
55,MEDIAN_AGE_WHITE_NON_HISP_FMLE,40.821132956,4.07273482238,20.0,64.4,20.821132956,-23.578867044,0.0064510718947,0.00418160118722
56,Marital_Status_Sing_WF,0.211881175763,0.0695184952693,0.0,1.267281,0.211881175763,-1.05539982424,1.77498727778e-05,0.880769440684
57,PERCNT_MEDCR_ENROL_AGED_DSBL_HI,16.9623383268,4.27717954526,2.963417,35.313641,13.9989213268,-18.3513026732,5.22780783138e-05,0.796855846742
58,RATE_ACTV_DO_NONFED,12.7706257244,20.674206531,0.0,565.661047,12.7706257244,-552.890421276,2.82898217902e-05,0.849809328486
59,Per_Dem_04,38.742808237,12.5119756842,7.1,89.38912,31.642808237,-50.646311763,0.00214833568156,0.0987296672449
60,Per_Dem_08,41.493153112,13.8545630067,0.0,92.863227,41.493153112,-51.370073888,7.79297993776e-05,0.753298770632
61,DAYS_HI_90,53.1093024776,41.7372380561,0.0,195.35,53.1093024776,-142.240697522,0.000463596389638,0.443292546185
62,Diesel_r_05,0.0253608639099,0.0431646845042,6.20861e-05,0.7462000954,0.0252987778099,-0.72083923149,0.000327636555763,0.519267770352
63,relig09,57.6309546832,122.83092695,0.0,3258.0,57.6309546832,-3200.36904532,0.000849950126979,0.29919696054
64,PCT_NHWHITE08,79.5482936252,19.0364377274,2.0,99.4,77.5482936252,-19.8517063748,0.00074391054774,0.331441473769
65,Pro_TTL_STON,4824.37460317,24611.564762,1.0,354060.0,4823.37460317,-349235.625397,0.000832112359245,0.304325898157
66,PERCNT_MEDCR_ENROL_DISABL_TOT,2.79856797006,1.28926713182,0.0,14.829327,2.79856797006,-12.0307590299,6.17322777347e-05,0.779685742716
67,Graduate_or_Professiol_Degree(%),6.44855119124,3.87152492457,0.0,40.6,6.44855119124,-34.1514488088,0.000553634324315,0.402137320843
68,PERCNT_MEDCR_ENROL_AGED_DSBL_TOT,17.0240472579,4.27527781773,2.977042,35.446399,14.0470052579,-18.4223517421,9.68953625195e-06,0.911757384928
69,POV_RATE,15.2724726336,6.05014824259,3.1,54.4,12.1724726336,-39.1275273664,0.00114183712134,0.228832164205
70,Filtered_Lead_03-05,0.551263032555,3.5545651371,0.0,75.5266666667,0.551263032555,-74.9754036341,4.19249083513e-05,0.81768524837
71,PERCNT_MEDCR_ENROL_AGED_DSBL_SMI,16.3231029665,4.22626082025,2.772668,34.649851,13.5504349665,-18.3267480335,0.00694152262485,0.00296470771765
72,Av_Per_Rep,58.6046593675,12.9418117068,7.947454,91.983871,50.6572053675,-33.3792116325,6.89549645038e-05,0.767504469423
73,Poverty_Rate_(%_below_federal_poverty_threshold),15.4378256674,6.50451686843,0.0,52.4,15.4378256674,-36.9621743326,0.00108037717133,0.241791529008
74,Total_Population,96332.6310711,310466.277882,81.0,9785295.0,96251.6310711,-9688962.36893,0.00196956771485,0.113926634401
75,DM_Heat,89.7684347031,3.19934097398,79.26,95.72,10.5084347031,-5.95156529692,0.000703632434983,0.34489044423
76,PERCNT_MEDCR_ENROL_AGED_TOT,96.6714290878,7.41488577446,0.0,180.368264,96.6714290878,-83.6968349122,0.00103186258439,0.252655320379
77,Epichlo_c_05,5.57129063405e-11,9.24683175574e-10,0.0,3.86e-08,5.57129063405e-11,-3.85442870937e-08,0.00130803099914,0.197736402873
78,2013_Poverty_(%_of_population_below_poverty_line),16.2045091918,6.3687566976,3.4,53.5,12.8045091918,-37.2954908082,0.000155395756937,0.657170079109
79,RATE_PULM_TOT_PC,1.07871909272,2.34992377952,0.0,30.327911,1.07871909272,-29.2491919073,0.000453837291941,0.448133116738
80,RATE_SHRTTERM_HOSP_ADM,87.7415051487,130.792570141,0.0,4808.737594,87.7415051487,-4720.99608885,0.000299195199401,0.537985234282
81,Marital_Status_Sing_WM,0.255265673255,0.0619416163034,0.0,0.90534,0.255265673255,-0.650074326745,0.00035048680371,0.505044743974
82,PERCNT_MALES_LT65_NO_HLTH_INS,19.1717082853,6.32375568398,0.0,46.8,19.1717082853,-27.6282917147,0.000430783526277,0.459900912258
83,RATE_PATH_TOT_PC,2.07501154668,4.37332370011,0.0,86.554393,2.07501154668,-84.4793814533,0.00399660012816,0.0242614922263
84,RATE_SURG_SPEC_TOT_PC,23.7361157415,32.7942255425,0.0,506.961446,23.7361157415,-483.225330259,0.000126650208594,0.688660463718
85,RATE_MDS_PC_OFFBASED,98.7917803464,96.1310920587,0.0,1214.507542,98.7917803464,-1115.71576165,0.000406510550492,0.472829033797
86,Filtered_Selenium_03-05,3.21911825902,20.6914783735,0.005,436.395,3.21411825902,-433.175881741,0.000415831680096,0.467796418893
87,MEDIAN_AGE_FEMALE,38.6277794169,4.0511557962,20.0,55.5,18.6277794169,-16.8722205831,0.000355609196591,0.501948244769
88,Filtered_Cadmium_03-05,0.55901289185,4.61985663988,0.0,74.0948847926,0.55901289185,-73.5358719008,0.0003181284045,0.525394039888
89,RATE_INTMED_TOT_PC,15.1050826587,20.0535703734,0.0,316.104703,15.1050826587,-300.999620341,0.00013670457145,0.677208759793
90,RATE_ANEST_TOT_PC,4.80899990212,8.68729351826,0.0,148.37896,4.80899990212,-143.569960098,1.10638234126e-05,0.9057342826
91,PERCNT_MEDCR_ENROL_DISABL_SMI,2.54500880522,1.22695568344,0.0,14.158756,2.54500880522,-11.6137471948,0.000201290212721,0.613464242901
92,rentbk,0.253571905319,0.249767536396,0.0,1.0,0.253571905319,-0.746428094681,0.000308759134594,0.531557777371
93,MEDIAN_AGE_MALE,36.1346511815,3.96539095257,19.8,52.9,16.3346511815,-16.7653488185,0.00126338429807,0.205570188638
94,Educ_Col_M_W,0.211294969933,0.107534014107,0.017544,0.869662,0.193750969933,-0.658367030067,6.0981257877e-05,0.780995643446
95,BC_WM,0.452121537664,0.110341930645,0.0,0.790838,0.452121537664,-0.338716462336,0.000512700340689,0.420107535198
96,EPICHLOROHYDRIN,4.64820937729e-05,0.000750777061933,0.0,0.0321484075,4.64820937729e-05,-0.0321019254062,0.00159245415144,0.155234567513
97,3-_and_4-year-olds_Not_Enrolled_in_Preschool_(%),57.0263700838,14.4289937861,0.0,100.0,57.0263700838,-42.9736299162,0.000286750491041,0.546564187082
98,PERCNT_MEDCD_ELIG_FEMALES,23.0468522933,10.0766836332,0.0,84.699454,23.0468522933,-61.6526017067,0.00286422643524,0.0565556469397
99,RATE_HOSP_BEDS,36.724965631,54.2437247987,0.0,1093.590576,36.724965631,-1056.86561037,2.50599683367e-05,0.858546806189
100,RATE_NEURO_TOT_PC,1.49606948938,3.84769962215,0.0,85.805798,1.49606948938,-84.3097285106,1.77230253434e-05,0.880858972544
101,RATE_TOTAL_INPT_BEDS,31.5006366706,44.720380686,0.0,859.846025,31.5006366706,-828.345388329,0.00258301345512,0.0702056422539
102,RATE_DGRADIOL_TOT_PC,3.31969051578,6.62222489281,0.0,133.096717,3.31969051578,-129.777026484,0.00102352296051,0.254582554158
103,Unfiltered_Mercury_03-05,52.4753857124,264.777876168,0.37,1971.29583333,52.1053857124,-1918.82044762,0.000953120463268,0.271598380148
104,RATE_NEURSURG_TOT_PC,0.568878815196,1.79695388429,0.0,42.040705,0.568878815196,-41.4718261848,3.35490031487e-05,0.836624009308
105,Population_over_65_(%),15.3585718881,4.20954528292,0.0,36.5,15.3585718881,-21.1414281119,0.00027252861566,0.55668465253
